id,created_at,station,start_time,end_time,crowd_level
211,2025-04-11 07:55:39.464562,CC1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
212,2025-04-11 07:55:39.464562,CC10,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
213,2025-04-11 07:55:39.464562,CC11,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
214,2025-04-11 07:55:39.464562,CC12,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
215,2025-04-11 07:55:39.464562,CC13,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
216,2025-04-11 07:55:39.464562,CC14,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
217,2025-04-11 07:55:39.464562,CC15,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
218,2025-04-11 07:55:39.464562,CC16,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
219,2025-04-11 07:55:39.464562,CC17,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,h
220,2025-04-11 07:55:39.464562,CC19,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
221,2025-04-11 07:55:39.464562,CC2,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
222,2025-04-11 07:55:39.464562,CC20,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
223,2025-04-11 07:55:39.464562,CC21,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
224,2025-04-11 07:55:39.464562,CC22,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
225,2025-04-11 07:55:39.464562,CC23,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
226,2025-04-11 07:55:39.464562,CC24,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
227,2025-04-11 07:55:39.464562,CC25,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
228,2025-04-11 07:55:39.464562,CC26,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
229,2025-04-11 07:55:39.464562,CC27,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
230,2025-04-11 07:55:39.464562,CC28,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
231,2025-04-11 07:55:39.464562,CC29,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
232,2025-04-11 07:55:39.464562,CC3,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
233,2025-04-11 07:55:39.464562,CC4,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
234,2025-04-11 07:55:39.464562,CC5,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
235,2025-04-11 07:55:39.464562,CC6,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
236,2025-04-11 07:55:39.464562,CC7,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
237,2025-04-11 07:55:39.464562,CC8,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
238,2025-04-11 07:55:39.464562,CC9,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
239,2025-04-11 07:55:39.864172,CE1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
240,2025-04-11 07:55:39.864172,CE2,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
241,2025-04-11 07:55:40.003627,CG1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
242,2025-04-11 07:55:40.003627,CG2,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
243,2025-04-11 07:55:40.135817,DT1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
244,2025-04-11 07:55:40.135817,DT10,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
245,2025-04-11 07:55:40.135817,DT11,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
246,2025-04-11 07:55:40.135817,DT12,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
247,2025-04-11 07:55:40.135817,DT13,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
248,2025-04-11 07:55:40.135817,DT14,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
249,2025-04-11 07:55:40.135817,DT15,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
250,2025-04-11 07:55:40.135817,DT16,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
251,2025-04-11 07:55:40.135817,DT17,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
252,2025-04-11 07:55:40.135817,DT18,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
253,2025-04-11 07:55:40.135817,DT19,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
254,2025-04-11 07:55:40.135817,DT2,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
255,2025-04-11 07:55:40.135817,DT20,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
256,2025-04-11 07:55:40.135817,DT21,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
257,2025-04-11 07:55:40.135817,DT22,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
258,2025-04-11 07:55:40.135817,DT23,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
259,2025-04-11 07:55:40.135817,DT24,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
260,2025-04-11 07:55:40.135817,DT25,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
261,2025-04-11 07:55:40.135817,DT26,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
262,2025-04-11 07:55:40.135817,DT27,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
263,2025-04-11 07:55:40.135817,DT28,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
264,2025-04-11 07:55:40.135817,DT29,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
265,2025-04-11 07:55:40.135817,DT3,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
266,2025-04-11 07:55:40.135817,DT30,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
267,2025-04-11 07:55:40.135817,DT31,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
268,2025-04-11 07:55:40.135817,DT32,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
269,2025-04-11 07:55:40.135817,DT33,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
270,2025-04-11 07:55:40.135817,DT34,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
271,2025-04-11 07:55:40.135817,DT35,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
272,2025-04-11 07:55:40.135817,DT5,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
273,2025-04-11 07:55:40.135817,DT6,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
274,2025-04-11 07:55:40.135817,DT7,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
275,2025-04-11 07:55:40.135817,DT8,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
276,2025-04-11 07:55:40.135817,DT9,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
277,2025-04-11 07:55:40.602039,EW1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
278,2025-04-11 07:55:40.602039,EW10,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
279,2025-04-11 07:55:40.602039,EW11,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
280,2025-04-11 07:55:40.602039,EW12,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
281,2025-04-11 07:55:40.602039,EW13,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
282,2025-04-11 07:55:40.602039,EW14,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
283,2025-04-11 07:55:40.602039,EW15,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
284,2025-04-11 07:55:40.602039,EW16,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
285,2025-04-11 07:55:40.602039,EW17,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
286,2025-04-11 07:55:40.602039,EW18,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
287,2025-04-11 07:55:40.602039,EW19,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
288,2025-04-11 07:55:40.602039,EW2,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
289,2025-04-11 07:55:40.602039,EW20,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
290,2025-04-11 07:55:40.602039,EW21,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
291,2025-04-11 07:55:40.602039,EW22,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
292,2025-04-11 07:55:40.602039,EW23,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
293,2025-04-11 07:55:40.602039,EW24,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
294,2025-04-11 07:55:40.602039,EW25,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
295,2025-04-11 07:55:40.602039,EW26,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
296,2025-04-11 07:55:40.602039,EW27,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
297,2025-04-11 07:55:40.602039,EW28,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
298,2025-04-11 07:55:40.602039,EW29,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
299,2025-04-11 07:55:40.602039,EW3,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
300,2025-04-11 07:55:40.602039,EW30,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
301,2025-04-11 07:55:40.602039,EW31,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
302,2025-04-11 07:55:40.602039,EW32,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
303,2025-04-11 07:55:40.602039,EW33,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
304,2025-04-11 07:55:40.602039,EW4,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
305,2025-04-11 07:55:40.602039,EW5,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
306,2025-04-11 07:55:40.602039,EW6,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
307,2025-04-11 07:55:40.602039,EW7,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
308,2025-04-11 07:55:40.602039,EW8,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
309,2025-04-11 07:55:40.602039,EW9,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
310,2025-04-11 07:55:41.097267,NE1,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
311,2025-04-11 07:55:41.097267,NE10,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
312,2025-04-11 07:55:41.097267,NE11,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
313,2025-04-11 07:55:41.097267,NE12,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
314,2025-04-11 07:55:41.097267,NE13,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
315,2025-04-11 07:55:41.097267,NE14,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
316,2025-04-11 07:55:41.097267,NE15,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
317,2025-04-11 07:55:41.097267,NE16,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
318,2025-04-11 07:55:41.097267,NE17,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
319,2025-04-11 07:55:41.097267,NE3,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
320,2025-04-11 07:55:41.097267,NE4,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
321,2025-04-11 07:55:41.097267,NE5,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
322,2025-04-11 07:55:41.097267,NE6,2025-04-11T15:30:00+08:00,2025-04-11T15:40:00+08:00,l
