,sin_start,cos_start,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,target
0,-0.9396926207859082,-0.3420201433256694,l,l,l,l,l,m,m
1,-0.9537169507482267,-0.3007057995042738,l,l,l,l,m,m,m
2,-0.9659258262890683,-0.25881904510252063,l,l,l,m,m,m,l
3,-0.9762960071199334,-0.21643961393810282,l,l,m,m,m,l,m
4,-0.984807753012208,-0.17364817766693033,l,m,m,m,l,m,m
5,-0.9914448613738104,-0.13052619222005163,m,m,m,l,m,m,m
6,-0.9961946980917455,-0.08715574274765825,m,m,l,m,m,m,l
7,-0.9990482215818578,-0.04361938736533613,m,l,m,m,m,l,l
8,-0.38268343236508956,0.9238795325112868,l,l,l,l,l,l,l
9,-0.3420201433256686,0.9396926207859084,l,l,l,l,l,l,l
10,-0.30070579950427384,0.9537169507482267,l,l,l,l,l,l,l
11,-0.2588190451025207,0.9659258262890683,l,l,l,l,l,l,l
12,-0.21643961393810288,0.9762960071199334,l,l,l,l,l,l,l
13,-0.17364817766693127,0.9848077530122079,l,l,l,l,l,l,l
