,sin_d,cos_d,sin_t,cos_t,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,target
0,-0.433883739117558,-0.9009688679024191,-0.8433914458128855,-0.5372996083468242,l,l,l,l,l,l,l
1,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,l,l,l,l,l,l,l
2,-0.433883739117558,-0.9009688679024191,-0.8870108331782215,-0.4617486132350344,l,l,l,l,l,l,m
3,-0.433883739117558,-0.9009688679024191,-0.9063077870366497,-0.42261826174069994,l,l,l,l,l,m,l
4,-0.433883739117558,-0.9009688679024191,-0.9238795325112868,-0.3826834323650895,l,l,l,l,m,l,m
5,-0.433883739117558,-0.9009688679024191,-0.9396926207859082,-0.3420201433256694,l,l,l,m,l,m,m
6,-0.433883739117558,-0.9009688679024191,-0.9537169507482267,-0.3007057995042738,l,l,m,l,m,m,m
7,-0.433883739117558,-0.9009688679024191,-0.9659258262890683,-0.25881904510252063,l,m,l,m,m,m,l
8,-0.433883739117558,-0.9009688679024191,-0.9762960071199334,-0.21643961393810282,m,l,m,m,m,l,m
9,-0.433883739117558,-0.9009688679024191,-0.984807753012208,-0.17364817766693033,l,m,m,m,l,m,l
10,-0.433883739117558,-0.9009688679024191,-0.9914448613738104,-0.13052619222005163,m,m,m,l,m,l,l
11,-0.433883739117558,-0.9009688679024191,-0.9961946980917455,-0.08715574274765825,m,m,l,m,l,l,l
12,-0.433883739117558,-0.9009688679024191,-0.9990482215818578,-0.04361938736533613,m,l,m,l,l,l,l
13,-0.433883739117558,-0.9009688679024191,-0.38268343236508956,0.9238795325112868,l,l,l,l,l,l,l
14,-0.433883739117558,-0.9009688679024191,-0.3420201433256686,0.9396926207859084,l,l,l,l,l,l,l
