,sin_d,cos_d,sin_t,cos_t,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,target
0,0.9749279121818236,-0.22252093395631434,0.9396926207859083,0.3420201433256688,l,l,l,l,l,l,l
1,0.9749279121818236,-0.22252093395631434,0.9537169507482269,0.3007057995042733,l,l,l,l,l,l,l
2,0.9749279121818236,-0.22252093395631434,0.9659258262890683,0.25881904510252074,l,l,l,l,l,l,m
3,0.9749279121818236,-0.22252093395631434,0.9762960071199334,0.2164396139381029,l,l,l,l,l,m,m
4,0.9749279121818236,-0.22252093395631434,0.984807753012208,0.17364817766693041,l,l,l,l,m,m,m
5,0.9749279121818236,-0.22252093395631434,0.9914448613738104,0.1305261922200517,l,l,l,m,m,m,m
6,0.9749279121818236,-0.22252093395631434,0.9961946980917455,0.08715574274765814,l,l,m,m,m,m,m
7,0.9749279121818236,-0.22252093395631434,0.9990482215818578,0.04361938736533623,l,m,m,m,m,m,m
8,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,m,m,m,m,m,m,m
9,0.9749279121818236,-0.22252093395631434,0.9990482215818578,-0.04361938736533589,m,m,m,m,m,m,m
10,0.9749279121818236,-0.22252093395631434,0.9961946980917455,-0.08715574274765824,m,m,m,m,m,m,m
11,0.9749279121818236,-0.22252093395631434,0.9914448613738105,-0.13052619222005138,m,m,m,m,m,m,h
12,0.9749279121818236,-0.22252093395631434,0.984807753012208,-0.1736481776669303,m,m,m,m,m,h,h
13,0.9749279121818236,-0.22252093395631434,0.9762960071199334,-0.2164396139381028,m,m,m,m,h,h,m
14,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252085,m,m,m,h,h,m,h
15,0.9749279121818236,-0.22252093395631434,0.9537169507482269,-0.30070579950427295,m,m,h,h,m,h,h
16,0.9749279121818236,-0.22252093395631434,0.9396926207859084,-0.3420201433256687,m,h,h,m,h,h,m
17,0.9749279121818236,-0.22252093395631434,0.9238795325112867,-0.3826834323650897,h,h,m,h,h,m,h
18,0.9749279121818236,-0.22252093395631434,0.90630778703665,-0.42261826174069933,h,m,h,h,m,h,m
19,0.9749279121818236,-0.22252093395631434,0.8870108331782218,-0.4617486132350338,m,h,h,m,h,m,m
20,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.49999999999999983,h,h,m,h,m,m,m
21,0.9749279121818236,-0.22252093395631434,0.8433914458128858,-0.5372996083468236,h,m,h,m,m,m,m
22,0.9749279121818236,-0.22252093395631434,0.819152044288992,-0.5735764363510458,m,h,m,m,m,m,m
23,0.9749279121818236,-0.22252093395631434,0.7933533402912352,-0.6087614290087207,h,m,m,m,m,m,m
24,0.9749279121818236,-0.22252093395631434,0.766044443118978,-0.6427876096865394,m,m,m,m,m,m,m
25,0.9749279121818236,-0.22252093395631434,0.7372773368101241,-0.6755902076156602,m,m,m,m,m,m,m
26,0.9749279121818236,-0.22252093395631434,0.7071067811865476,-0.7071067811865475,m,m,m,m,m,m,m
27,0.9749279121818236,-0.22252093395631434,0.6755902076156604,-0.737277336810124,m,m,m,m,m,m,m
28,0.9749279121818236,-0.22252093395631434,0.6427876096865395,-0.7660444431189779,m,m,m,m,m,m,m
29,0.9749279121818236,-0.22252093395631434,0.6087614290087204,-0.7933533402912353,m,m,m,m,m,m,m
30,0.9749279121818236,-0.22252093395631434,0.5735764363510464,-0.8191520442889917,m,m,m,m,m,m,m
31,0.9749279121818236,-0.22252093395631434,0.5372996083468238,-0.8433914458128857,m,m,m,m,m,m,m
32,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,m,m,m,m,m,m,m
33,0.9749279121818236,-0.22252093395631434,0.4617486132350339,-0.8870108331782217,m,m,m,m,m,m,l
34,0.9749279121818236,-0.22252093395631434,0.4226182617406995,-0.9063077870366499,m,m,m,m,m,l,m
35,0.9749279121818236,-0.22252093395631434,0.3826834323650899,-0.9238795325112867,m,m,m,m,l,m,m
36,0.9749279121818236,-0.22252093395631434,0.3420201433256689,-0.9396926207859083,m,m,m,l,m,m,m
37,0.9749279121818236,-0.22252093395631434,0.30070579950427334,-0.9537169507482268,m,m,l,m,m,m,m
38,0.9749279121818236,-0.22252093395631434,0.258819045102521,-0.9659258262890682,m,l,m,m,m,m,m
39,0.9749279121818236,-0.22252093395631434,0.21643961393810318,-0.9762960071199333,l,m,m,m,m,m,m
40,0.9749279121818236,-0.22252093395631434,0.17364817766693028,-0.984807753012208,m,m,m,m,m,m,m
41,0.9749279121818236,-0.22252093395631434,0.13052619222005157,-0.9914448613738104,m,m,m,m,m,m,m
42,0.9749279121818236,-0.22252093395631434,0.08715574274765864,-0.9961946980917455,m,m,m,m,m,m,m
43,0.9749279121818236,-0.22252093395631434,0.04361938736533607,-0.9990482215818578,m,m,m,m,m,m,m
44,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,m,m,m,m,m,m,m
45,0.9749279121818236,-0.22252093395631434,-0.04361938736533627,-0.9990482215818578,m,m,m,m,m,m,m
46,0.9749279121818236,-0.22252093395631434,-0.08715574274765794,-0.9961946980917455,m,m,m,m,m,m,m
47,0.9749279121818236,-0.22252093395631434,-0.13052619222005132,-0.9914448613738105,m,m,m,m,m,m,m
48,0.9749279121818236,-0.22252093395631434,-0.17364817766693047,-0.984807753012208,m,m,m,m,m,m,m
49,0.9749279121818236,-0.22252093395631434,-0.21643961393810293,-0.9762960071199334,m,m,m,m,m,m,m
50,0.9749279121818236,-0.22252093395631434,-0.25881904510252035,-0.9659258262890684,m,m,m,m,m,m,m
51,0.9749279121818236,-0.22252093395631434,-0.30070579950427306,-0.9537169507482269,m,m,m,m,m,m,m
52,0.9749279121818236,-0.22252093395631434,-0.34202014332566866,-0.9396926207859084,m,m,m,m,m,m,m
53,0.9749279121818236,-0.22252093395631434,-0.3826834323650892,-0.923879532511287,m,m,m,m,m,m,m
54,0.9749279121818236,-0.22252093395631434,-0.4226182617406993,-0.90630778703665,m,m,m,m,m,m,m
55,0.9749279121818236,-0.22252093395631434,-0.46174861323503374,-0.8870108331782218,m,m,m,m,m,m,m
56,0.9749279121818236,-0.22252093395631434,-0.5000000000000001,-0.8660254037844386,m,m,m,m,m,m,m
57,0.9749279121818236,-0.22252093395631434,-0.5372996083468236,-0.8433914458128859,m,m,m,m,m,m,m
58,0.9749279121818236,-0.22252093395631434,-0.5735764363510458,-0.819152044288992,m,m,m,m,m,m,m
59,0.9749279121818236,-0.22252093395631434,-0.6087614290087207,-0.7933533402912352,m,m,m,m,m,m,m
60,0.9749279121818236,-0.22252093395631434,-0.6427876096865393,-0.766044443118978,m,m,m,m,m,m,m
61,0.9749279121818236,-0.22252093395631434,-0.6755902076156598,-0.7372773368101244,m,m,m,m,m,m,m
62,0.9749279121818236,-0.22252093395631434,-0.7071067811865475,-0.7071067811865477,m,m,m,m,m,m,m
63,0.9749279121818236,-0.22252093395631434,-0.7372773368101239,-0.6755902076156604,m,m,m,m,m,m,m
64,0.9749279121818236,-0.22252093395631434,-0.7660444431189779,-0.6427876096865395,m,m,m,m,m,m,m
65,0.9749279121818236,-0.22252093395631434,-0.7933533402912349,-0.6087614290087209,m,m,m,m,m,m,m
66,0.9749279121818236,-0.22252093395631434,-0.8191520442889916,-0.5735764363510464,m,m,m,m,m,m,m
67,0.9749279121818236,-0.22252093395631434,-0.8433914458128855,-0.5372996083468242,m,m,m,m,m,m,m
68,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,m,m,m,m,m,m,m
69,0.9749279121818236,-0.22252093395631434,-0.8870108331782215,-0.4617486132350344,m,m,m,m,m,m,m
70,0.9749279121818236,-0.22252093395631434,-0.9063077870366497,-0.42261826174069994,m,m,m,m,m,m,m
71,0.9749279121818236,-0.22252093395631434,-0.9238795325112868,-0.3826834323650895,m,m,m,m,m,m,m
72,0.9749279121818236,-0.22252093395631434,-0.9396926207859082,-0.3420201433256694,m,m,m,m,m,m,m
